id,subject,body,t1_final,t2_final
37488,,"Hello Randy,

 

The truth prevails!  This individual is nothing short of a criminal. Please see this email I received this morning from Bonnie Kelly of the Consumer Affairs Advocate�?

 

 

 

Good morning Eric Molinar,

 

Hi my name is Kelly and I am assigned to your case CA130102449 regarding a package 9407409699938761150690 for  CERMAK AUTOCENTER ATT-GEORGE ZAKALYUGIN 

2908 W. CERMAK CHICAGO, IL. 60628. Thank you for contacting us regarding your concerns. I discovered during my investigation that this package was scanned NO SECURE LOCATION AVAILABLE 09/09/2016 11:55AM CHICAGO, IL 60623 Scanned by route 0623C005 and was confirmed by GPS tracker. I conducted a field investigation because the carrier confirms this package was delivered on this day and by fault of admission scanned this package NOTICE LEFT instead of DELIVERED. He also did not obtain a signature as requested. I visited this address on 10/04/16 the recipient/addressee was not available I left my name and phone number and advised if further investigation by Postal Inspectors have to be involved they will ask to pull footage from the camera that are located on the outside and inside of the building that will confirm the carrier left it on the counter and walked in with this package and walked out without it. Also what confirms that this package was delivered is that there was mail and a package",M2M Escalation,Buyer Protect High ASP Claim
37489,,NULL,Specialty,Logistics - CCR
37490,Policy General,"
Salve l,indirizzo e giusto e il numero di telefono anche...il pacco lo sto aspettando da un mese ma nessuno e passato da casa mia....fatemi sapere qualcosa. Grazie saluti
________________________________
Da: customerhelp@ebay.co.uk <customerhelp@ebay.co.uk>
Inviato: giovedì 6 ottobre 2016 02.06.52
A: claudioaib@hotmail.it
Oggetto: Oggetto eBay non consegnabile al tuo indirizzo - SR# 1-88173858570

[eBay]
Oggetto eBay non consegnabile al tuo indirizzo - SR# 1-88173858570


Gentile claudio1976-it,

Stiamo riscontrando problemi con la consegna del tuo ordine per l'oggetto eBay 152192469372 messo in vendita da gazza3462 (ORA: A2305958002IT). In genere questo si verifica a causa di un indirizzo o numero di telefono incompleti o non riconosciuti.

Ti preghiamo di controllare l'indirizzo e il numero di telefono per la consegna. L'indirizzo a cui abbiamo tentato di effettuare la consegna è VIA UMBERTO I,,VESTIGNE',TO,10030,Italy.  Il numero di telefono è 3476620585.

Se questi dettagli non sono corretti, modificali qui:
http://payments.ebay.it/ws/eBayISAPI.dll?UserAddresses&cmd=standalone

Nota: non possiamo effettuare la spedizione a un indirizzo in un paese diverso da quello in cui l'oggetto è stato messo in vendita inizialmente. Inoltre, non effettuiamo spedizioni a caselle postali o centri di recapito.

--Una volta che hai aggiornato l'indirizzo, non è neces",Specialty,Logistics - CCR
37491,,"Thank you very much, Deven. However, these are not giftcard nubmers. They should be something like 2872664940555.

Thanks anyway.

On 10/5/2016 11:40:56 AM, highvalueclaimsinfo@ebay.com <highvalueclaimsinfo@ebay.com> wrote:
[eBay]
Gift card refund information SR# 1-88140765321


Hello Jianan,
 
I appreciate your call about your gift card refund.
 
Below are your gift card numbers.
 
I hope this is helpful.
 
EW9MQF3YSXEWVAPA 
ENWNDFRCEY72EEXA 
EVPJB9HDGVWC62GE 
EVGE8LJ2BPBJ9GXE 
ESKZRAT5QFGVLY6W 
Thanks,
Deven J.
eBay
[THREAD ID: 1-88140765321]


eBay Document ID: 37616719008

eBay is committed to your privacy. Read our user agreement [http://pages.ebay.com/help/policies/user-agreement.html] and privacy notice [http://pages.ebay.com/help/policies/privacy-policy.html]. Learn how to recognize fake (spoof) emails [http://pages.ebay.com/help/account/recognizing-spoof.html].
Copyright © 2016 eBay Inc. All Rights Reserved. Designated trademarks and brands are the property of their respective owners. eBay and the eBay logo are trademarks of eBay Inc., 2145 Hamilton Avenue, San Jose, CA 95125.",M2M Escalation,Buyer Protect High ASP Claim
37492,,"Sent:	2016-10-07 10:27:00.0

Subject:	Your Action Required Regarding eBay Item #: 162194973710 (OREUSA1584907655MX) SR# 1-88276312113

Enter your response here:	First of all is not Fedex who has it, is DHL, and it Is stocked at Custums because the information provided of what is it and materials is not correctly stated. I have been calling them for a week, and I do not have a straight answerRegards,Mariano de Zavaleta   El mensaje anterior era-------------------------   .header{background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Reg;font-size:14px;font-weight:normal;font-style:normal;line-height: 1.2;}#email p{margin: 14px 0;}#email a{color:#0563C1;}.subject{ font-size: 18px; margin: 16px 0 30px 0;}.thanks{margin: 36px 0 90px 0 !important;}.footer{background-color:#FFFFFF;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}.info{color:#767676;font-size:12px;font-family:font-family:Helvetica Neue,Helvetica, Arial; Light; }Your Action Required Regarding eBay Item #: 162194973710 (OREUSA1584907655MX) SR# 1-88276312113Hello mariandezavalet_0, I&rsquo;m emailing on behalf of the Global Shipping Program regarding eBay Item # 162194973710. FedEx is attempting to deliver the parcel but they need you to contact them to do so. Please contact FedEx with tracking #: 7507665244 to schedule a delivery or arrange to pick up the parc",Specialty,Logistics - CCR
37493,eBay Item,"


________________________________
Lähettäjä: ismo heikkinen <ismo.heikkinen@hotmail.com>
Lähetetty: 5. lokakuuta 2016 18:30
Vastaanottaja: customerhelp@ebay.com
Aihe: VS: eBay item undeliverable to your address - SR# 1-86895158442


Hi again!


I'm wondering if you got my mail below? Did I understand right that you are resending my item quite soon?


Br.


Ismo Heikkinen



________________________________
Lähettäjä: ismo heikkinen <ismo.heikkinen@hotmail.com>
Lähetetty: 23. syyskuuta 2016 7:57
Vastaanottaja: customerhelp@ebay.com
Aihe: VS: eBay item undeliverable to your address - SR# 1-86895158442


Hi


Thank you very much! I just updated my phone number and you can resend the item now. Your service is very good!


Br.

-Ismo

________________________________
Lähettäjä: customerhelp@ebay.com <customerhelp@ebay.com>
Lähetetty: 23. syyskuuta 2016 3:18
Vastaanottaja: ismo.heikkinen@hotmail.com
Aihe: eBay item undeliverable to your address - SR# 1-86895158442

[eBay]
eBay item undeliverable to your address - SR# 1-86895158442


Hello ismheikkine-0,

We're having trouble delivering your order of eBay item 231470591911 from monoprice.com (ORA: OREUSA2288280944FI). This is usually caused by an incomplete or unrecognized address or phone number.

Please review the delivery address and phone number. The address we tried to deliv",Specialty,Logistics - CCR
37494,,"Regarding Item # 311690725118



Tracking# 1760129486



Valid contact details:



My shipping address



 Lichtenstein David

Ha Tzilzal 15/5

Maale Adumim  9837015

Israel



Tel 9725352037  mob. 972544695097


email 5352037@gmail.com


Anything else? Because I do not understand what the problem is.


Sincerely David Lichtenstein.



2016-10-06 15:42 GMT+03:00 <customerhelp_uk@ebay.com>:

> [image: eBay]
> Your Action Required Regarding eBay Item #: 311690725118, Tracking
> 1760129486 SR# 1-88230443032
>
>
> Hello davliht (5352037@gmail.com),
>
>
>
> I’m emailing you from eBay’s Global Shipping Programme Department
> regarding Item # 311690725118
>
>
>
> DHL have informed us that they require further information to deliver your
> parcel. Tracking details below.
>
>
>
> Please contact DHL directly or provide us with Valid contact details to
> arrange delivery or collection of your item.
>
>
>
> Tracking# 1760129486
>
>
>
> DHL tracking site: http://www.dhl.co.uk/en/express/tracking.html
>
>
>
> If you fail to contact DHL within the next 24 hours, the item may be
> returned back to the shipping center and you will be without your item.
>
>
>
> We sincerely appreciate your attention to the matter. We are trying our
> best to get the item to you but we need your help.
>
>
>
> If the item has alread",Specialty,Logistics - CCR
37495,FW: Snapdragon Monitoring Ltd Acting for AFG Media Ltd.,"Please see below:

AFG Media Ltd has registered design rights over the morphsuits in EU. We are requesting that the items reported here be removed from sale, since they infringe these design rights. The registered design right numbers are: Gangster (002061556-0007), Muscle (002061556-0001), Skeleton (002061556-0003), Slenderman (002061556-0006) and Mummy (002061556-0008).y International A.G.
Attn: VeRO Programme
Notice of Claimed Infringement
Intellectual Property Owner _______AFG Media Ltd____________​_______________
Name and Title _________SnapDragon Monitoring___________________________
Company _____________SnapDragon Monitoring Ltd_________________________
Address _____________111 Whitehouse Loan__________________________
City, Town, and Postcode _________Edinburgh - EH9 1AT____________________
Email Address (for communication with eBay) ___roar@snapdragon-ip.com​_________<mailto:___roar@snapdragon-ip.com​_________>
Email Address (for communication with sellers) ___roar@snapdragon-ip.com_______<mailto:___roar@snapdragon-ip.com_______>
Telephone_______+44 (0)131 226 6064____________________________________
Website ________www.snapdragon-ip.com__________________________________
Associate each item(s) reported as allegedly infringing with ONLY one of the reason codes listed on the following page.
Reason code: __5.2_ Work(s) Infringed: _____EU Registered Design 0",e2M Listing,VeRO - CCR
37496,Brand Registration,"Dear Team,

 

Greeting From Acme Housewares (I) Pvt. Ltd.,

 

We are register with eBay since last six months and we have found that our
brands ""Casa Copenhagen"" is not showing in the brand filter. 

 

So, we want to register our brand name ""Casa Copenhagen"" with ebay. We are
Leader in Towels - Home Furnishing Category in Amazon, Flipkart, Snapdeal 

 

We are into E-Commerce Business since last 3 Years, and we want to provide
our Variety of Home Furnishing Category - Towels & Bed sheets to eBay
Customers. As In Amazon in Towels Category we are having 60% SKU's in first
three pages. And we have started with our collections of Casa Basic Bed
sheet with a good response.

 

PFA & do the needful.

 

Please find below our ebay registration details:

 

Email id: onlinemktg@acmehousewares.com

User ID: acmehousewares_2016

Mobile no.: 9099997567

 

We are waiting for your reply.

 

Thank you.

 

 

 

 

Regards.

Pragnesh Patel

Acme Housewares (I) Pvt. Ltd. 

9909978220

 

",e2M Listing,VeRO - CCR
37497,Bazaar Assets LLP:  VERO Notice of Infringement,"

**************************************
Notice of Claimed Infringement - Statutory Declaration

eBay International A.G.

Attn: VeRO Programme

Fax: +44 (0)20 7153 0985

Date: 5 October 2016

Dear eBay,

I, Allison Duff of Bazaar Assets LLP do solemnly and sincerely declare as follows:

�?I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (“IP Owner�?;

�?I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner’s rights according to English law; and

�?I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner:_Bazaar Assets LLP

Address of the rights owner: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

_________________________________________________________________________

I may be contacted at:

Name and Title of the author of the Notice: Miss Allison Duff

Company of the author of the Notice: Bazaar Assetts LLP

Address: Unit 2 Easter Park, Baker Road, Cramlington NE23 1WQ

email address (for communication with eBay): sales@beanbagstoreuk.com<mailto:sales@beanbagstoreuk.com>

email address (for communication with sellers)*: _sales@beanbagstoreuk.com<",e2M Listing,VeRO - CCR
